ID_Pedido,Data_Pedido,ID_Cliente,Segmento,Regiao,Categoria,Produto,Valor_Venda,Quantidade,Desconto,Lucro
OD-1363,2024-05-16,CT-222,Consumidor,Centro-Oeste,Móveis,Estante de Livros,1128.85,3,0.0,225.77
OD-1131,2025-01-19,CT-144,Home Office,Norte,Eletrônicos,Carregador Rápido,259.53,4,0.0,38.93
OD-1241,2024-02-20,CT-235,Home Office,Centro-Oeste,Vestuário,Calça Jeans Premium,1047.08,8,0.15,143.97
OD-1052,2024-08-16,CT-232,Consumidor,Nordeste,Material de Escritório,Papel A4 500fls,204.58,6,0.1,
OD-1358,15/12/2024,CT-227,Consumidor,Centro-Oeste,Eletrônicos,Monitor 4K,14158.84,8,0.0,
OD-1189,07/01/2026,CT-247,Home Office,Sudeste,Móveis,Estante de Livros,1599.81,5,0.0,319.96
OD-1422,2024-11-24,CT-230,Consumidor,Sul,Material de Escritório,Caderno Universitário,248.82,10,0.05,88.33
OD-1091,2026-01-09,CT-172,Consumidor,Sul,Eletrônicos,Smartphone X,11874.25,10,0.05,1395.22
OD-1423,2026-02-23,CT-135,Consumidor,Nordeste,Material de Escritório,Caneta Gel 12un,195.99,10,0.2,43.12
OD-1126,2025-04-05,CT-162,Consumidor,Sul,Móveis,Cadeira Ergonômica,2400.97,5,0.0,480.19
OD-1006,2024-10-27,CT-203,Corporativo,Norte,Eletrônicos,Carregador Rápido,414.43,7,0.0,
OD-1225,2026-01-30,CT-212,Consumidor,Sul,Material de Escritório,Caderno Universitário,92.81,4,0.05,32.95
OD-1292,2025-11-29,CT-117,Consumidor,Sul,Vestuário,Camiseta Algodão,442.77,9,,110.69
OD-1440,2024-11-15,CT-136,Home Office,Centro-Oeste,Móveis,Estante de Livros,1413.25,4,0.15,134.26
OD-1281,2024-02-25,CT-125,Consumidor,Nordeste,Eletrônicos,Fone Bluetooth,154.45,1,0.0,23.17
OD-1174,2026-01-03,CT-138,Corporativo,Nordeste,Eletrônicos,Monitor 4K,9030.06,5,0.1,767.56
OD-1062,2025-06-09,CT-195,Corporativo,Centro-Oeste,Eletrônicos,Monitor 4K,3332.23,2,0.0,499.83
OD-1102,2024-09-09,CT-101,Home Office,Nordeste,Móveis,Luminária LED,289.15,4,,57.83
OD-1327,2024-04-20,CT-201,Corporativo,Sudeste,Material de Escritório,Organizador de Mesa,110.8,3,0.0,44.32
OD-1285,2024-01-28,CT-204,Consumidor,Sul,Material de Escritório,Caneta Gel 12un,95.06,5,0.0,38.02
OD-1353,10/12/2025,CT-158,Home Office,Sudeste,Vestuário,Tênis Casual,1299.13,6,0.05,276.07
OD-1304,2024-01-15,CT-136,Home Office,Nordeste,Eletrônicos,Fone Bluetooth,465.88,3,0.05,54.74
OD-1260,04/03/2026,CT-148,Consumidor,Centro-Oeste,Material de Escritório,Caderno Universitário,113.76,5,0.0,45.5
OD-1099,2026-01-21,CT-135,Corporativo,Sudeste,Eletrônicos,Smartphone X,8779.53,8,0.0,1316.93
OD-1474,"Aug 12, 2024",CT-223,Consumidor,Nordeste,Móveis,Mesa de Escritório,3830.77,6,,766.15
OD-1387,2025-03-10,CT-200,Consumidor,Norte,Eletrônicos,Fone Bluetooth,136.19,1,0.0,20.43
OD-1455,2024-05-11,CT-186,Home Office,Sul,Móveis,Estante de Livros,2555.53,7,0.0,511.11
OD-1308,2024-01-28,CT-244,Corporativo,Sudeste,Material de Escritório,Organizador de Mesa,72.81,2,0.15,19.29
OD-1236,2025-10-28,CT-121,Consumidor,Nordeste,Material de Escritório,Caderno Universitário,205.62,9,0.05,73.0
OD-1117,2024-08-11,CT-243,Corporativo,Sudeste,Móveis,Estante de Livros,343.3,1,0.0,68.66
OD-1105,12/09/2024,CT-203,Consumidor,Sudeste,Móveis,Luminária LED,292.13,4,0.15,27.75
OD-1135,2025-12-09,CT-228,Home Office,Nordeste,Vestuário,Jaqueta Corta-Vento,1477.27,9,0.0,369.32
OD-1279,2024-10-29,CT-228,Consumidor,Nordeste,Material de Escritório,Organizador de Mesa,248.6,6,0.0,99.44
OD-1219,2024-07-23,CT-220,Consumidor,Sudeste,Vestuário,Calça Jeans Premium,752.18,6,0.05,159.84
OD-1465,2026-03-10,CT-152,Corporativo,Sudeste,Material de Escritório,Caneta Gel 12un,92.69,5,0.15,24.56
OD-1205,2024-03-21,CT-160,Home Office,Norte,Material de Escritório,Papel A4 500fls,261.22,9,0.1,80.98
OD-1209,2024-07-02,CT-148,Consumidor,Centro-Oeste,Material de Escritório,Caderno Universitário,202.14,8,0.0,80.86
OD-1378,2024-04-27,CT-244,Consumidor,Sul,Vestuário,Tênis Casual,1815.08,10,0.1,317.64
OD-1283,2025-06-09,CT-158,Consumidor,Nordeste, Material de Escritório ,Organizador de Mesa,157.41,4,0.0,62.96
OD-1041,2024-05-13,CT-190,Corporativo,Centro-Oeste,Eletrônicos,Monitor 4K,1923.13,1,0.05,225.97
OD-1092,2025-12-04,CT-112,Home Office,Sudeste,Móveis,Luminária LED,72.53,1,0.0,14.51
OD-1115,2024-03-05,CT-196,Corporativo,Centro-Oeste,Material de Escritório,Caderno Universitário,26.62,1,0.2,
OD-1162,2025-07-04,CT-102,Consumidor,Centro-Oeste,Vestuário,Calça Jeans Premium,1164.27,9,,291.07
OD-1233,2024-10-07,CT-168,Consumidor,Norte, Material de Escritório ,Papel A4 500fls,176.44,6,0.2,38.82
OD-1469,2024-01-23,CT-217,Corporativo,Nordeste,Vestuário,Camiseta Algodão,368.75,7,0.1,64.53
OD-1394,25/02/2026,CT-134,Consumidor,Norte,Material de Escritório,Caderno Universitário,202.77,9,0.0,81.11
OD-1161,2024-03-12,CT-213,Consumidor,Norte,Material de Escritório,Caderno Universitário,125.68,5,0.15,33.31
OD-1468,2025-02-25,CT-244,Home Office,Nordeste,Eletrônicos,Smartphone X,1280.73,1,0.2,25.61
OD-1406,2024-05-18,CT-184,Home Office,Norte,Vestuário,Tênis Casual,1497.31,7,0.0,374.33
OD-1198,2024-06-14,CT-111,Corporativo,Norte,Móveis,Luminária LED,651.21,8,0.1,84.66
OD-1379,2025-08-28,CT-186,Home Office,Centro-Oeste,Eletrônicos,Carregador Rápido,110.34,2,0.1,
OD-1487,2024-01-15,CT-109,Consumidor,Norte,Material de Escritório,Organizador de Mesa,224.27,6,0.0,89.71
OD-1155,2025-03-24,CT-230,Consumidor,Centro-Oeste,Vestuário,Camiseta Algodão,501.9,10,0.05,106.65
